dd0 Cell Density,dd0-dd1 Cell Density Gradient,dd1 Cell Density,dd1-dd2 Cell Density Gradient,dd2 Cell Density,dd2-dd3 Cell Density Gradient,dd3 Cell Density ,dd3-dd5 Cell Density Gradient,dd5 Cell Density,dd5-dd7 Cell Density Gradient,dd7 Cell Density,dd0 Aggregate Size,dd0-dd1 Aggregate Size Gradient,dd1 Aggregate Size ,dd1-dd2 Aggregate Size Gradient,dd2 Aggregate Size ,dd2-dd3 Aggregate Size Gradient,dd3 Aggregate Size ,dd3-dd5 Aggregate Size Gradient,dd5 Aggregate Size ,dd7 Aggregate Size ,dd5-dd7 Aggregate Size Gradient,Preculture Time [h],Start Preculture Perfusion [h after inoc] d1-d2,Presence of  IWP2 [h],Average DO concentration d0,Average DO concentration d1,Average DO concentration dd0,Average DO concentration dd1,Average DO concentration dd2,Average DO concentration dd3,Average DO concentration dd4,Average DO concentration dd5,Average DO concentration dd6,Average DO concentration dd7,Average DO concentration gradient d0,Average DO concentration gradient d1,Average DO concentration gradient dd0,Average DO concentration gradient dd1,Average DO concentration gradient dd2,Average DO concentration gradient dd3,Average DO concentration gradient dd4,Average DO concentration gradient dd5,Average DO concentration gradient dd6,Average DO concentration gradient dd7,dd0 Average of 2nd derivative DO,dd1 Average of 2nd derivative DO,dd2 Average of 2nd derivative DO,dd3 Average of 2nd derivative DO,dd5 Average of 2nd derivative DO,dd7 Average of 2nd derivative DO,Overall Average pH,Overall density gradient,Overall aggregate size gradient,d0 Average pH,d0 Average pH Gradient,d1 Average pH,d1 Average pH Gradient,dd0 Average pH,dd0 Average pH Gradient,dd1 Average pH,dd1 Average pH Gradient,dd2 Average pH,dd2 Average pH Gradient,dd3 Average pH,dd3 Average pH Gradient,dd4 Average pH,dd4 Average pH Gradient,dd5 Average pH,dd5 Average pH Gradient,dd6 Average pH,dd6 Average pH Gradient,dd7 Average pH,dd7 Average pH Gradient,dd0 Lactate Concentration,dd1 Lactate Concentration,dd3 Lactate Concentration,dd5 Lactate Concentration,dd7 Lactate Concentration,dd0 Glucose Concentration,dd1 Glucose Concentration,dd3 Glucose Concentration,dd5 Glucose Concentration,dd7 Glucose Concentration,dd10 CM Content
0.725,0.2137931034482759,0.88,0.1900696066346477,1.04726125383849,-0.0403540698976415,1.005,0.8109452736318411,1.82,-0.1443940056987195,1.5572029096283304,121.616004,0.1112180926451095,135.141904,0.1544327714146455,156.012242768972,-0.2137800032678279,122.659945,-0.0561616752722332,115.771157,118.194219,0.0209297554139499,53.0,26.75,44.5,108.2344,87.827,83.00788888888889,83.90069999999999,77.28407692307692,70.14980952380951,65.55902380952381,74.68975590551182,65.14186772486772,30.41537179487179,139.1262063097353,-7.230151138853085,1.722996015936288,1.334571377282952,-1.160427896518004,-1.380013217373655,2.326476924602223,-3.841011947736678,-9.527716450150626,-1.330997378059737,53.56333091267645,-65.5832194192615,-88.23497912312149,-43.32892897771508,39.60602043654168,-384.1950768431669,6.74503255255937,1.147866082245973,-0.0281359762486522,7.067529411764705,-0.0625120007552873,6.81908,-0.0038237343378379,6.583861111111111,-0.0220066622095465,6.526025,-0.072583083469222,6.611545454545455,-0.1200805863560895,6.92315625,-0.0208057121311834,6.647576923076924,-0.0053716498747466,6.555818181818182,0.0201829077993836,6.675911764705881,-0.1052954077250588,7.03982142857143,-0.0100116757311118,13.675,14.025,2.09,17.78,5.935,9.18,3.895,9.875,0.635,7.555,75.7
0.65,0.3846153846153846,0.9,0.1900696066346477,1.071062645971183,0.2464256922987848,1.335,0.7490636704119851,2.335,-0.1443940056987196,1.9978399966934897,114.421927,0.2734930954274174,145.715534,0.0573934736711049,154.0786546641,-0.2545875984549317,114.85214,0.390156630951761,159.662464,125.49478,-0.2139994782994204,53.0,26.75,44.5,88.25599999999999,74.95353333333333,74.50263636363636,78.39414285714285,74.20158333333333,68.37663157894737,64.08972,75.16146575342465,65.05072727272727,31.58469696969697,-42.06791722358365,-3.352800269127588,1.342433448584173,0.3270863190548202,-1.047309234123756,-0.4980446608223843,-0.5222834884459376,-8.77092545406057,-12.2465633362794,-1.712621884722239,-4.180727609870312,2.388758938279703,26.88962824301063,2.473982606600827,-0.986518903565596,-0.2177873912704658,6.908314343040827,2.073599994913061,0.0967721248043655,7.259799999999999,-0.0285310907876495,6.85096,-0.0036261169866716,7.145157894736841,-0.118095152756604,6.991,-0.0124210592889702,6.833088235294118,-0.0865548603639896,6.843135135135134,-0.030596478436062,6.602639999999999,0.003752287003929,6.746703703703705,0.0050694202586439,6.862538461538462,0.0042534694390103,6.94812,0.0027974071435389,14.115,13.35,2.165,17.105,12.51,9.52,4.47,10.145,1.01,2.91,75.0
0.88,0.0227272727272727,0.9,0.1900696066346477,1.071062645971183,-0.0383382299117989,1.03,0.611650485436893,1.66,-0.1443940056987195,1.4203059505401254,118.950489,0.570669894429774,186.831952,-0.1928387335056533,150.803514997931,0.0536550756272493,158.894889,0.2568042890290826,199.699778,159.815115,-0.1997231213747269,53.0,26.75,44.5,90.72258490566036,82.02435135135134,84.46712234042553,87.60477042801556,83.462303514377,79.84003603603604,74.38491329479768,70.06445815899582,61.281013671875,33.78931166666666,-98.56046153846148,1.613414414414667,2.758746010637862,-3.117929551042995,2.062029550476074,2.836885138888043,-3.832449159523294,-9.328510912938356,-2.89010841390682,-3.231224391465593,-21.34736322039869,-130.1593896210404,-219.2698443806075,-164.5453713955764,-237.2511850126072,241.17846746892,6.831166197158192,0.613984034704688,0.3435431526473169,7.124666666666668,-0.0210715170165869,6.860076923076923,-0.0051933146772587,7.294534883720929,-0.2222228419727973,6.616605263157896,0.0089703407344688,6.73671875,-0.1184290099631693,6.92569696969697,-0.0214618975793996,6.62173076923077,-0.0035511734996173,6.615722222222222,-0.0975745002295676,6.539342857142858,-0.0605423277044157,6.976566666666668,-0.013500282908581,14.44,13.67,1.775,19.05,7.21,9.0275,4.415,10.27,0.0,6.745,55.6
0.785,0.3630573248407643,1.07,0.1900696066346479,1.2733744790990733,-0.4620592675261992,0.685,0.5109489051094889,1.035,-0.1443940056987196,0.8855522041018251,125.587593,-0.0313541720637961,121.649898,0.2521967622904707,152.329608408566,-0.0193061115254638,149.388716,-0.0438081749092748,142.844269,213.765558,0.4964937655286681,53.0,26.75,44.5,116.8642826086956,78.80851999999999,74.64130000000002,77.92091666666667,73.53033333333333,65.58492,58.18748484848484,68.17734444444444,64.53052777777778,52.82807317073171,120.3627177432132,-6.314443453971191,0.8663803545660167,0.4468007206191242,-1.076933290304893,-0.8150761717841725,-0.1155378240165944,-13.03009544750804,-9.470769714171816,-0.3199156209762942,60.34482218167248,151.3772332043771,-97.10421396475068,6.138381811965375,-7.501429232882196,-6.322409345512515,6.884728941883243,0.1280919797475478,0.7021232184934064,7.114656249999999,-0.0156217323267476,6.794346153846154,-0.004452929053841,6.827923076923077,-0.0701745992783928,6.953078947368422,-0.1246169925670731,7.11471875,-0.114203335687188,6.973193548387097,-0.0149156673239681,6.744807692307693,-0.0030631548004824,6.746750000000001,0.0011250115772899,6.777439999999999,0.0011621151836729,6.800375,0.0009165740804969,13.995,11.955,0.995,16.43,14.295,8.995,5.155,10.255,2.27,2.135,57.7
0.41,0.9756097560975612,0.81,0.1900696066346478,0.9639563813740648,1.778134002477025,2.678,-0.0029873039581777,2.67,-0.3764044943820224,1.665,91.8841821,0.6036489266415314,147.34997,-0.0160084626910885,144.991123502722,0.2208304153300593,177.009573525,0.640537199300051,290.39079,219.99551,-0.2424156771638659,56.0,28.5,43.12,114.9939183673469,87.6846463414634,82.24885964912279,82.26026829268294,76.34938235294118,66.01037837837838,78.048109375,85.03608849557521,72.8952258064516,60.83181506849315,128.1037575473991,-9.176986922906393,0.2904041803948146,2.417361315287126,-1.774980952020652,-1.015254536982939,1.670943954288298,1.757993561977656,-12.19719338069103,1.563706247817621,112.5087102368433,-121.9438186781129,74.25138090954384,-212.0967958367778,36.69398078828253,-81.89077040269086,6.785728217807353,3.060975609756098,1.3942696661387597,7.06065625,-0.0179370773213772,6.846551724137932,0.0111791439057297,7.054666666666667,-0.1447304483000058,6.909200000000001,-0.1550545173698598,6.618,-0.0095248103483288,6.555046511627907,-0.1421530428412717,6.599625000000001,0.0007707826751497,6.682807692307692,0.0055490790976089,6.75952,0.000657164653367,6.771208333333333,0.0005416666666666,13.0575,11.3,15.1,16.425,14.455,9.5475,1.7,0.0175,1.61,1.065,63.0
0.295,0.0847457627118644,0.32,0.1900696066346479,0.3808222741230873,1.3843143158861584,0.908,-0.251101321585903,0.68,0.014705882352941,0.69,85.0092262,0.3198216830727956,112.19702,0.1957068666108067,134.15474722727,0.3194432339030846,177.009573525,3.2638933305683757,754.74994,338.91061,-0.550963051418063,56.0,28.5,43.12,89.32396428571428,76.87827586206897,69.905375,70.99163636363636,64.12126666666666,65.29436585365853,71.06177272727273,74.11306097560976,72.09037974683545,62.90180487804879,210.9141613479984,-5.69882286063398,-0.078973017878802,-0.2039295239548116,-1.239214661909451,0.9750951494824792,-0.5498673803921481,-11.87334878370021,-8.510432165055954,-0.6390231669891129,45.9968058346623,-9.739119306493244,3.842239771232685,-48.03451697184207,0.4907422768572192,-0.3045093024402369,6.910049311002179,1.3389830508474576,2.9867509110440533,7.039617647058824,-0.0450336576372128,6.840703703703703,0.0025861177089738,6.906722222222223,0.0791533606532957,7.132861111111112,-0.0691036646086162,6.911933333333334,-0.0122042959414889,7.0576875,-0.0842198866346966,6.816925925925926,-0.0050856607613212,6.784416666666668,0.0008750347704502,6.805,0.0004583565007733,6.804625000000001,4.164352494679353e-05,11.585,10.1,12.1,12.13,12.835,10.795,0.6,3.605,3.765,3.095,19.2
1.185,-0.3924050632911393,0.72,0.1900696066346479,0.8568501167769464,1.8738981903424692,2.4625,-0.1451776649746192,2.105,-0.4204275534441805,1.22,148.90783,0.3371951629407266,199.11883,-0.1455112823335341,170.144793709947,0.0439104464163508,177.6159275571687,0.5208852253019537,270.13344,235.10028,-0.1296883495801186,56.0,28.5,43.12,139.8874375,87.32982142857144,80.85766666666667,82.761,73.43145945945946,58.07628571428572,38.93703703703704,64.52240298507462,54.27322222222224,28.94834920634921,-355.0014893617022,-7.505651569110458,-0.714055162059742,-0.1465760067235427,-1.609695607646339,-4.231913413828318,-1.290746153217136,-4.454354347875814,-9.439120453033894,-1.575222378982988,-6.466749264020056,-6.136306111887927,10.4125791468515,-5.891795319469506,-10.5351638798071,-14.78519396131173,6.686832548354879,0.0295358649789028,0.578830878134481,7.109470588235293,-0.0166947972880148,6.825576923076923,-0.0043558782665779,7.185571428571428,-0.1430109040025184,5.15396,0.261880144766993,6.695111111111111,-0.0066640304901173,6.500953488372093,-0.0221750813438201,6.653038461538463,0.0017247020713839,6.79172972972973,-0.1382544394167845,6.724307692307691,-0.0050601945224588,7.228606060606061,-0.1642298097741831,15.045,11.3,14.7,15.776212121212122,16.575,8.715,1.8,1.2125,2.125769230769232,0.96,63.8
1.185,-0.7552742616033755,0.29,0.1900696066346477,0.3451201859240478,4.128648141113172,1.77,-0.4011299435028248,1.06,-0.0235849056603774,1.035,138.17223,0.2915683563911502,178.45888,-0.0533735093267311,168.933903303882,0.2970812590877058,219.121,0.7367578643763033,380.56012,439.51547,0.1549173097801209,56.0,28.5,43.12,127.6041296296296,88.32876470588236,78.56320000000001,76.88691666666666,66.44035897435896,49.16402272727273,28.43286206896552,63.67643333333334,68.89831914893618,54.04721311475409,121.7964136209435,-8.065720607761897,-0.4696235712010222,-0.9542858743350036,-2.083300722149002,-2.286150235308679,-1.924751340025006,-11.98947006577929,-8.553277707714711,-1.623922609205383,-383.7745395160311,-73.36479698135689,5.627475076976963,-167.8342148522636,-314.3165576827643,207.0396364808031,6.88387319351178,-0.1265822784810127,2.1809247777212537,7.150727272727273,-0.0579008020755639,6.780269230769231,-0.0035316116376152,7.014428571428572,-0.0052553003500445,6.478470588235293,-0.0169058575117875,6.831900000000001,-0.0136867679873432,7.363972972972974,-0.1722014130811796,6.673629629629629,-0.0050736564805754,6.861656249999999,-0.0754713789983091,6.79,-0.0067105432204331,6.893677419354837,-0.1130814139422172,12.3775,11.5,13.375,18.93,14.225,7.135,0.7,0.4875,0.0,1.765,29.8
0.66,-0.0378787878787879,0.635,0.7637795275590553,1.12,1.0267857142857142,2.27,-0.1762114537444933,1.87,-0.1443940056987195,1.5999832093433946,112.987955169067,0.2817413660004716,144.821336,-0.0006306266773564,144.730007802068,0.3424672460856717,194.295295,0.0519939661946008,204.397478,218.894079,0.0709235805737289,50.0,27.5,43.0,93.84750000000004,70.8803043478261,63.85357142857143,57.80821428571428,71.23990909090911,59.20496202531645,60.18664102564102,60.0262,63.95554482758621,60.07153571428572,-39.0967441860465,-7.211805806512325,-1.312434507597661,3.151087856587862,-80.06872483967783,0.9450936131379012,3.472525562251453,0.022733333333333,-4.76651383802184,-0.0134824660633422,1.201598369908258,3.494611968254706,-7.709259716218253,0.0624805226824552,25.47785554293302,2.29105656473457,7.042365887814725,1.424216983853628,0.9373222453000652,7.092384615384617,-0.1802214259212878,7.078714285714286,0.0002150858679417,6.903815789473684,-0.2254156422759425,6.985466666666666,-0.0127231028788671,7.028935483870968,-0.1364306336093064,7.156555555555555,-0.0082618634758109,6.982875,-0.1823206088553789,7.199194444444444,-0.0352007588006193,7.027037037037037,-0.0013240934855193,6.968679999999999,-0.0001745454545465,12.755,13.818782051282048,14.366666666666667,16.175,13.370256410256408,9.22,3.647831196581196,1.910347222222222,2.13,2.671346153846154,60.4
1.21,-0.3057851239669421,0.84,0.5000000000000001,1.26,1.1984126984126984,2.77,-0.3935018050541516,1.68,-0.1443940056987195,1.4374180704261512,122.439462,0.2500843151368959,153.059651,0.0112085184286941,154.775222918923,0.0282957891998717,159.15471,0.1578447348495059,184.276443,132.878243,-0.2789189934602764,50.0,27.5,43.0,95.14505405405406,75.22373333333333,67.58657142857143,66.64166666666668,57.72238709677419,44.45379487179487,29.44962790697674,77.59926293103449,80.32447507331379,80.01607628865979,-25.12611111111111,-6.678775939849627,-0.1648097238895643,-0.7959978015088379,-1.392286013226095,-1.233716148490317,-1.347309841137449,0.1833599536651133,-2.382889740821194,-5.007596211005231,-12.5863523302968,159.6498890286333,-153.6519492135065,-59.90762990025469,40.57627122402425,39.1493694316894,7.122427449765562,0.1879488185340093,0.085256671578645,7.03834375,-0.0165477524268266,6.806807692307691,-0.0036797523275784,7.656555555555554,-0.0401338067726248,7.86808888888889,-0.2646944980044055,6.86814705882353,-0.1764695624176078,6.944548387096774,-0.0172906025889676,6.642242424242425,-0.0905309381980663,7.18611111111111,-0.0073943744860295,7.026629629629631,-0.0066282094579967,7.1868,-0.1053578836870242,15.83,13.818782051282048,14.366666666666667,17.275,13.370256410256408,9.4225,3.647831196581196,1.910347222222222,0.56,2.671346153846154,11.7
1.16,-0.3060344827586206,0.805,0.6894409937888198,1.36,1.0808823529411764,2.83,-0.1519434628975265,2.4,-0.1443940056987195,2.053454386323073,119.813863,0.337764328657027,160.282712,-0.0418234013533787,153.579143806016,0.2086875626450037,185.629201,-0.0076573189581309,184.207779,144.607638,-0.2149754001431176,50.0,27.5,43.0,117.7143529411764,78.23141176470588,69.27266666666668,68.5464,58.70666666666667,44.38623076923076,29.61776315789474,69.62732894736843,60.57440350877193,32.44449315068493,-339.4256567993351,-8.340886007545933,-0.2933272869221306,-0.8494252515491102,-2.0048521955883,-1.586730519617237,-1.250096668396934,-12.73333441778633,-13.58562942234087,-0.9872682790348564,29.8858978197084,106.2730935910911,200.8387556220708,2.709815404037809,-0.1172972125921778,85.12366840308412,6.740622859856994,0.7702192985543734,0.206935778374828,7.115794117647058,-0.0183792688821359,6.791346153846154,-0.0038228236201089,6.442975609756097,-0.0071740816241777,6.602307692307691,-0.0312953580240096,6.268709677419355,-0.0093187670604488,6.845323529411765,-0.0224371995091143,6.686916666666666,-0.0992769592803481,7.0345,-0.0091888234535491,6.880839999999999,-0.0049487160921628,6.737515151515153,-0.086663448129962,15.265,12.02,14.366666666666667,17.99,13.370256410256408,9.055,4.645,1.910347222222222,0.0,2.671346153846154,17.5
